name,type
Abel Dining Hall,Dining
Cather Dining Hall,Dining
Hamilton Hall,Academic
Avery Hall,Academic
Love Library,Study
DLC Exam Commons,Testing
North 17th Parking Garage,Parking
East Campus,Zone
Chase Hall,Academic
Jorgensen Hall,Academic
Kiewit Hall,Academic
Scott Engineering Hall,Residential
Abel Hall,Residential
Nebraska Hall, Academic
Othmer Hall, Academic
Louise Pound Hall, Academic
14th St Parking Garage, Parking
Carolyn Pope Edwards Hall, Academic
Sapp Recreation Facility, Recreation
Burnett Hall, Academic
Brace Laboratory, Academic
Manter Hall, Academic
Nebraska Union, Dining
Selleck Building, Dining
